review_text,rating
This product is amazing! I love it.,5
"Terrible quality, do not buy.",1
"Good value for money, satisfied.",4
"Worst purchase ever, broke after one use.",1
"Excellent, highly recommend.",5
"Not bad, but could be better.",3
"Fantastic product, worth every penny.",5
"Disappointed, expected more.",2
"Great features, easy to use.",4
"Poor customer service, bad experience.",1
This product is amazing! I love it.,5
"Terrible quality, do not buy.",1
"Good value for money, satisfied.",4
"Worst purchase ever, broke after one use.",1
"Excellent, highly recommend.",5
"Not bad, but could be better.",3
"Fantastic product, worth every penny.",5
"Disappointed, expected more.",2
"Great features, easy to use.",4
"Poor customer service, bad experience.",1
This product is amazing! I love it.,5
"Terrible quality, do not buy.",1
"Good value for money, satisfied.",4
"Worst purchase ever, broke after one use.",1
"Excellent, highly recommend.",5
"Not bad, but could be better.",3
"Fantastic product, worth every penny.",5
"Disappointed, expected more.",2
"Great features, easy to use.",4
"Poor customer service, bad experience.",1
This product is amazing! I love it.,5
"Terrible quality, do not buy.",1
"Good value for money, satisfied.",4
"Worst purchase ever, broke after one use.",1
"Excellent, highly recommend.",5
"Not bad, but could be better.",3
"Fantastic product, worth every penny.",5
"Disappointed, expected more.",2
"Great features, easy to use.",4
"Poor customer service, bad experience.",1
This product is amazing! I love it.,5
"Terrible quality, do not buy.",1
"Good value for money, satisfied.",4
"Worst purchase ever, broke after one use.",1
"Excellent, highly recommend.",5
"Not bad, but could be better.",3
"Fantastic product, worth every penny.",5
"Disappointed, expected more.",2
"Great features, easy to use.",4
"Poor customer service, bad experience.",1
This product is amazing! I love it.,5
"Terrible quality, do not buy.",1
"Good value for money, satisfied.",4
"Worst purchase ever, broke after one use.",1
"Excellent, highly recommend.",5
"Not bad, but could be better.",3
"Fantastic product, worth every penny.",5
"Disappointed, expected more.",2
"Great features, easy to use.",4
"Poor customer service, bad experience.",1
This product is amazing! I love it.,5
"Terrible quality, do not buy.",1
"Good value for money, satisfied.",4
"Worst purchase ever, broke after one use.",1
"Excellent, highly recommend.",5
"Not bad, but could be better.",3
"Fantastic product, worth every penny.",5
"Disappointed, expected more.",2
"Great features, easy to use.",4
"Poor customer service, bad experience.",1
This product is amazing! I love it.,5
"Terrible quality, do not buy.",1
"Good value for money, satisfied.",4
"Worst purchase ever, broke after one use.",1
"Excellent, highly recommend.",5
"Not bad, but could be better.",3
"Fantastic product, worth every penny.",5
"Disappointed, expected more.",2
"Great features, easy to use.",4
"Poor customer service, bad experience.",1
This product is amazing! I love it.,5
"Terrible quality, do not buy.",1
"Good value for money, satisfied.",4
"Worst purchase ever, broke after one use.",1
"Excellent, highly recommend.",5
"Not bad, but could be better.",3
"Fantastic product, worth every penny.",5
"Disappointed, expected more.",2
"Great features, easy to use.",4
"Poor customer service, bad experience.",1
This product is amazing! I love it.,5
"Terrible quality, do not buy.",1
"Good value for money, satisfied.",4
"Worst purchase ever, broke after one use.",1
"Excellent, highly recommend.",5
"Not bad, but could be better.",3
"Fantastic product, worth every penny.",5
"Disappointed, expected more.",2
"Great features, easy to use.",4
"Poor customer service, bad experience.",1
